product_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,product_line,days_of_supply,stock_status,stock_value,excess_value
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,2024-09-02,210.04,0.657,Industrial Hardware,1.5016685205784204,Understock,3451.14,0.0
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,2024-05-04,240.0,0.634,MRO Supplies,180.5084745762712,Healthy,7591.32,0.0
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92,B,51,3.64,64.69,1.65,2,0.71,309,5.67,0.37,2024-12-22,280.08,0.487,MRO Supplies,64.02439024390245,Healthy,13584.9,0.0
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,2024-11-05,234.62,0.47,Packaging,101.65289256198348,Healthy,15789.51,0.0
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,2024-12-26,35.69,0.624,Safety Products,1.2875536480686696,Understock,7014.84,0.0
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,2024-04-14,76.89,0.591,Safety Products,13.240093240093241,Understock,29990.399999999998,0.0
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54,D,65,1.55,29.47,1.95,2,0.88,93,4.18,0.26,2024-07-22,155.0,0.449,MRO Supplies,19.833119383825416,Understock,9106.23,0.0
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,14.54,0.36,2024-05-02,14.02,0.676,Safety Products,9.820647419072616,Understock,25759.129999999997,0.0
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,2024-10-09,191.13,0.58,Safety Products,46.02870813397129,Healthy,36353.979999999996,0.0
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,2024-06-13,200.6,0.565,Industrial Hardware,20.06972111553785,Understock,52740.61,0.0
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,2024-05-24,211.97,0.526,MRO Supplies,5.9260832625318605,Understock,15863.94,0.0
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,2024-07-13,171.16,0.674,Warehouse Equipment,19.744642042863656,Understock,23576.850000000002,0.0
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,2024-08-26,141.19,0.552,MRO Supplies,17.67210787792761,Understock,32061.239999999998,0.0
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,2024-09-30,258.11,0.695,Warehouse Equipment,76.3157894736842,Healthy,46212.659999999996,0.0
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,2024-11-28,232.53,0.573,Industrial Hardware,2.366565961732125,Understock,9738.4,0.0
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55,C,20,1.97,169.91,1.02,8,0.89,864,4.4,0.25,2024-07-02,187.58,0.425,Packaging,17.21915285451197,Understock,63546.34,0.0
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,2024-06-06,23.34,0.553,Safety Products,2.2619935371613225,Understock,12977.510000000002,0.0
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,2024-05-13,211.24,0.56,Industrial Hardware,20.68452380952381,Understock,38002.6,0.0
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,2024-07-03,171.87,0.434,Safety Products,19.216589861751153,Understock,16421.460000000003,0.0
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,2024-09-19,211.11,0.693,Packaging,5.235204855842185,Understock,4241.429999999999,0.0
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,2024-09-11,100.31,0.779,Packaging,9.852216748768473,Understock,51312.0,0.0
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,2024-08-26,235.33,0.435,Industrial Hardware,48.97959183673469,Understock,4533.12,0.0
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14,A,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2024-02-20,131.2,0.697,Packaging,12.22739524626317,Understock,39500.84,0.0
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4.0,0.8,2024-08-28,269.4,0.724,Warehouse Equipment,19.6439923712651,Understock,4622.64,0.0
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,2024-06-12,40.16,0.403,Packaging,2.2865309038942483,Understock,2789.76,0.0
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13,A,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,2024-04-14,150.52,0.607,Safety Products,5.259697567389875,Understock,2477.6,0.0
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46,D,165,2.05,162.19,0.32,7,0.75,92,12.95,0.25,2024-07-08,69.66,0.601,Safety Products,3.2839665164198326,Understock,16543.38,0.0
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,2024-06-09,141.51,0.482,Safety Products,7.742639040348964,Understock,10757.92,0.0
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61,Safety Products,21.72910662824207,Understock,9417.460000000001,0.0
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589,Warehouse Equipment,12.237762237762238,Understock,2115.4,0.0
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665,MRO Supplies,10.365853658536587,Understock,11877.05,0.0
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634,Industrial Hardware,9.643012625163257,Understock,67189.81,0.0
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585,Safety Products,3.28525641025641,Understock,5374.280000000001,0.0
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737,Packaging,10.038216560509554,Understock,62224.420000000006,0.0
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507,Safety Products,12.0265780730897,Understock,14554.21,0.0
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632,Packaging,12.21042471042471,Understock,35187.240000000005,0.0
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66,Packaging,10.714285714285714,Healthy,54898.41,0.0
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553,Safety Products,3.363598844407759,Understock,26207.14,0.0
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696,Warehouse Equipment,16.1663807890223,Understock,53707.420000000006,0.0
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273,Packaging,4.969987995198079,Understock,3597.66,0.0
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702,Packaging,6.990569905699057,Understock,37066.700000000004,0.0
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,2024-04-10,137.39,0.561,Safety Products,10.707762557077626,Understock,19496.33,0.0
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537,Packaging,40.64303380049464,Overstock,95784.97,88207.66
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,59.82,0.638,Packaging,23.021582733812952,Understock,1875.52,0.0
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,2024-07-13,87.45,0.459,Safety Products,8.084428514536041,Understock,18233.46,0.0
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73,Safety Products,4.8076923076923075,Understock,6158.099999999999,0.0
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718,Industrial Hardware,39.96316758747698,Overstock,15437.380000000001,14370.28
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647,Warehouse Equipment,20.668896321070235,Understock,38371.62,0.0
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687,Warehouse Equipment,8.157963107300597,Understock,32561.8,0.0
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,2024-12-01,13.25,0.421,Packaging,19.54261954261954,Understock,38159.299999999996,0.0
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66,Warehouse Equipment,24.83383685800604,Understock,10780.53,0.0
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563,Packaging,7.4262139003490955,Understock,35060.22,0.0
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651,Industrial Hardware,14.580175810851772,Understock,5343.91,0.0
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657,Safety Products,3.5917312661498704,Understock,13477.439999999999,0.0
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72,Safety Products,46.19815668202765,Understock,52206.19,0.0
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503,Safety Products,1.982319849986606,Understock,6796.16,0.0
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567,Warehouse Equipment,1.51465261771485,Understock,1563.08,0.0
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577,Industrial Hardware,35.86387434554974,Understock,21628.190000000002,0.0
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586,Warehouse Equipment,6.139677666922486,Understock,17172.0,0.0
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,2024-03-27,166.46,0.503,Warehouse Equipment,12.645422357106728,Understock,8900.0,0.0
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494,Industrial Hardware,4.18848167539267,Understock,8247.6,0.0
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394,Industrial Hardware,13.67595818815331,Understock,4282.96,0.0
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483,Industrial Hardware,18.930957683741646,Understock,24333.8,0.0
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483,Industrial Hardware,23.890784982935156,Understock,64100.4,0.0
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689,Safety Products,6.206896551724138,Understock,46221.84,0.0
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521,MRO Supplies,24.929577464788732,Understock,21670.11,0.0
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546,MRO Supplies,9.390444810543658,Understock,23415.600000000002,0.0
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653,Industrial Hardware,10.216388790351187,Understock,14918.4,0.0
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,2024-01-18,206.64,0.453,MRO Supplies,4.016064257028112,Understock,4989.599999999999,0.0
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2024-02-08,10.78,0.543,MRO Supplies,56.79676985195155,Healthy,36832.16,0.0
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,2024-12-08,19.26,0.626,Industrial Hardware,2.401601067378252,Understock,3144.96,0.0
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22,B,16,1.0,159.61,1.24,3,0.91,418,7.73,0.83,2024-01-25,251.79,0.667,MRO Supplies,9.181761399125545,Understock,46925.340000000004,0.0
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,2024-01-04,83.26,0.698,Warehouse Equipment,92.22222222222221,Healthy,15952.599999999999,0.0
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,2024-07-30,33.56,0.506,Packaging,23.237800154918666,Understock,21333.0,0.0
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32,B,104,4.44,21.67,0.53,9,0.98,301,14.27,0.86,2024-03-11,125.85,0.725,Packaging,5.82791395697849,Understock,5049.110000000001,0.0
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,2024-11-18,24.78,0.392,Industrial Hardware,14.577259475218659,Understock,7163.0,0.0
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,2024-04-28,227.62,0.526,Safety Products,8.298368298368299,Understock,22178.8,0.0
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1.0,475,12.42,0.67,2024-02-04,153.3,0.777,Industrial Hardware,6.075187969924812,Understock,10956.48,0.0
ITM10102,Pharma,42,39,5,4,22.29,9.1,0.72,L35,D,154,1.55,67.64,0.14,0,0.92,344,5.97,0.88,2024-12-28,170.06,0.826,Safety Products,1.8842530282637955,Understock,2840.88,0.0
ITM10103,Apparel,51,39,3,6,17.98,2.02,0.17,L82,C,28,4.88,176.08,0.93,7,0.82,880,9.34,0.26,2024-03-18,228.37,0.508,Packaging,2.836484983314794,Understock,8980.08,0.0
ITM10104,Electronics,465,31,4,4,1.94,0.77,0.5,L89,D,104,3.07,108.42,1.61,8,0.98,691,13.1,0.28,2024-01-05,237.49,0.506,Industrial Hardware,239.69072164948454,Overstock,50415.3,40332.24
ITM10105,Automotive,93,84,8,9,41.44,9.13,0.19,L72,D,48,4.58,40.0,0.16,7,0.73,334,7.74,0.43,2024-04-21,49.51,0.579,Warehouse Equipment,2.2442084942084946,Understock,3720.0,0.0
ITM10106,Groceries,29,75,14,3,7.99,8.31,0.64,L29,A,126,4.37,157.15,1.71,0,0.73,366,1.71,0.48,2024-09-15,91.28,0.494,MRO Supplies,3.629536921151439,Understock,4557.35,0.0
ITM10107,Pharma,475,21,12,9,16.17,9.74,0.35,L88,D,45,2.0,49.61,0.83,5,0.9,561,13.65,0.87,2024-08-21,60.94,0.753,Safety Products,29.37538651824366,Healthy,23564.75,0.0
ITM10108,Groceries,73,45,4,9,28.89,1.05,0.36,L42,A,24,2.91,88.37,0.32,8,0.75,78,8.24,0.97,2024-07-10,25.67,0.662,MRO Supplies,2.5268258913118724,Understock,6451.01,0.0
ITM10109,Groceries,71,27,8,9,13.05,1.98,0.17,L99,D,166,2.44,117.93,1.18,8,0.98,789,8.63,0.21,2024-01-31,165.88,0.475,MRO Supplies,5.440613026819923,Understock,8373.03,0.0
ITM10110,Electronics,167,99,3,5,25.36,1.5,0.38,L100,D,69,3.69,121.04,1.91,6,0.95,343,1.19,0.21,2024-11-12,82.44,0.337,Industrial Hardware,6.585173501577287,Understock,20213.68,0.0
ITM10111,Groceries,179,62,13,9,40.66,6.99,0.56,L8,C,177,3.15,23.12,1.13,6,0.79,56,2.4,0.89,2024-11-22,54.65,0.535,MRO Supplies,4.402361042793901,Understock,4138.4800000000005,0.0
ITM10112,Automotive,389,80,3,2,24.06,6.26,0.63,L30,A,153,4.03,168.99,1.4,3,0.97,591,11.88,0.31,2024-12-07,157.94,0.614,Warehouse Equipment,16.167913549459684,Understock,65737.11,0.0
ITM10113,Groceries,33,10,7,8,47.5,3.91,0.16,L5,D,170,0.55,101.09,1.65,6,0.71,264,7.09,0.47,2024-11-11,193.86,0.446,MRO Supplies,0.6947368421052632,Understock,3335.9700000000003,0.0
ITM10114,Electronics,197,67,12,7,42.53,1.05,0.69,L41,B,98,3.6,197.96,1.62,9,0.86,676,14.97,0.42,2024-09-04,233.91,0.514,Industrial Hardware,4.632024453327063,Understock,38998.12,0.0
ITM10115,Automotive,431,99,13,5,17.32,6.58,0.54,L52,D,25,1.94,146.31,0.24,4,0.98,264,10.74,0.43,2024-12-03,15.07,0.721,Warehouse Equipment,24.884526558891455,Understock,63059.61,0.0
ITM10116,Apparel,385,96,11,3,20.6,5.92,0.58,L35,C,167,1.51,198.59,1.51,9,0.96,213,14.29,0.46,2024-09-06,162.62,0.544,Packaging,18.689320388349515,Understock,76457.15,0.0
ITM10117,Groceries,72,99,10,2,21.74,1.57,0.85,L9,C,107,4.11,96.16,1.9,4,0.81,219,4.91,0.47,2024-01-09,87.45,0.451,MRO Supplies,3.311867525298988,Understock,6923.5199999999995,0.0
ITM10118,Electronics,427,15,5,4,31.68,9.13,0.41,L28,C,113,0.9,36.75,1.43,0,0.75,270,3.47,0.7,2024-01-04,297.56,0.593,Industrial Hardware,13.478535353535353,Understock,15692.25,0.0
ITM10119,Apparel,354,79,5,9,15.05,2.39,0.26,L73,A,53,1.53,148.19,1.69,1,0.76,309,6.27,0.7,2024-09-29,55.51,0.587,Packaging,23.52159468438538,Understock,52459.26,0.0
ITM10120,Apparel,41,53,3,6,48.49,7.56,0.6,L92,A,175,1.42,157.77,1.02,8,0.85,773,4.71,0.62,2024-10-09,136.98,0.495,Packaging,0.8455351618890492,Understock,6468.570000000001,0.0
ITM10121,Pharma,49,81,5,6,30.83,8.91,0.95,L41,A,60,2.39,172.04,0.71,1,0.88,310,9.59,0.89,2024-07-29,291.31,0.791,Safety Products,1.5893610120012975,Understock,8429.96,0.0
