lead_id,enquiry_date,lead_source,product_category,region,response_time_hours,stage,deal_value_gbp,customer_type
LD-35,30/08/2024,Website,Warehouse Equipment,South East,37,Proposal Sent,22699.43,Government
LD-36,06/01/2023,Website,Industrial Hardware,London,30,Proposal Sent,73836.24,Government
LD-37,14/10/2024,Trade Show,MRO Supplies,North,13,Won,33214.82,Government
LD-38,25/02/2024,Online Directory,Industrial Hardware,Midlands,18,Enquiry,77725.85,Trade
LD-39,01/05/2023,Online Directory,Warehouse Equipment,London,18,Enquiry,7350.08,Government
LD-40,28/10/2022,Referral,Industrial Hardware,South East,28,Enquiry,54522.42,Contractor
LD-41,06/06/2024,Online Directory,MRO Supplies,North,67,Lost,26230.79,Government
LD-42,06/02/2024,Email Campaign,Industrial Hardware,Midlands,25,Proposal Sent,45875.9,Government
LD-43,29/05/2022,Website,Warehouse Equipment,North,21,Enquiry,79905.03,Retail
LD-44,26/11/2022,Cold Call,Industrial Hardware,South West,76,Enquiry,29842.23,Government
LD-45,21/01/2022,Email Campaign,Industrial Hardware,South West,96,Lost,29672.12,Contractor
LD-46,07/06/2023,Referral,Industrial Hardware,Midlands,89,Qualified,7249.89,Contractor
LD-47,13/09/2024,Online Directory,Industrial Hardware,North,83,Enquiry,62742.84,Retail
LD-48,15/05/2023,Email Campaign,Warehouse Equipment,North,77,Lost,40660.83,Contractor
LD-49,17/07/2024,Trade Show,Safety Products,North,21,Enquiry,28791.73,Retail
LD-50,20/08/2022,Website,Safety Products,London,34,Enquiry,31822.84,Contractor
LD-51,22/09/2023,Referral,Warehouse Equipment,London,59,Lost,21060.04,Government
LD-52,11/01/2024,Trade Show,Safety Products,North,68,Proposal Sent,26456.59,Trade
LD-53,26/08/2022,Email Campaign,Packaging,North,18,Qualified,6778.6,Contractor
LD-54,15/10/2022,Email Campaign,Safety Products,London,35,Won,29948.55,Government
LD-55,20/01/2024,Trade Show,Safety Products,London,45,Proposal Sent,21328.34,Retail
LD-56,27/04/2024,Referral,MRO Supplies,South East,89,Qualified,27708.31,Government
LD-57,01/11/2022,Cold Call,Industrial Hardware,South East,37,Qualified,75866.11,Government
LD-58,05/09/2022,Email Campaign,Industrial Hardware,Midlands,18,Qualified,23945.35,Government
LD-59,12/06/2023,Website,Packaging,North,96,Enquiry,55005.81,Contractor
LD-60,13/02/2024,Email Campaign,Industrial Hardware,North,29,Enquiry,45222.7,Retail
LD-61,18/11/2023,Cold Call,MRO Supplies,London,5,Proposal Sent,13932.06,Trade
LD-62,08/10/2024,Cold Call,Safety Products,London,12,Lost,62869.16,Trade
LD-63,29/12/2022,Email Campaign,Warehouse Equipment,South East,15,Qualified,69130.5,Retail
LD-64,04/07/2024,Website,MRO Supplies,North,23,Won,13147.31,Contractor
LD-65,08/05/2024,Cold Call,MRO Supplies,Midlands,24,Enquiry,48528.03,Retail
LD-66,26/10/2022,Cold Call,Industrial Hardware,South East,36,Qualified,2137.2,Contractor
LD-67,07/06/2024,Trade Show,MRO Supplies,North,20,Proposal Sent,35112.22,Contractor
LD-68,04/05/2022,Referral,Warehouse Equipment,Midlands,51,Qualified,80339.37,Government
LD-69,25/07/2022,Email Campaign,Packaging,Midlands,88,Qualified,2645.09,Trade
LD-70,03/08/2024,Trade Show,Industrial Hardware,Midlands,35,Lost,31457.91,Contractor
LD-71,27/06/2024,Trade Show,Safety Products,South West,21,Won,25974.94,Government
LD-72,29/10/2022,Cold Call,Safety Products,South West,37,Won,65887.98,Contractor
LD-73,31/01/2024,Trade Show,Industrial Hardware,London,39,Proposal Sent,13895.41,Contractor
LD-74,17/08/2023,Online Directory,MRO Supplies,North,73,Proposal Sent,60141.02,Government
LD-75,18/07/2023,Referral,Packaging,London,33,Qualified,42607.51,Government
LD-76,30/10/2023,Cold Call,MRO Supplies,South West,88,Enquiry,77448.86,Trade
LD-77,22/07/2024,Referral,Warehouse Equipment,Midlands,51,Qualified,64554.27,Retail
LD-78,14/06/2024,Trade Show,Warehouse Equipment,North,68,Won,70093.1,Contractor
LD-79,14/12/2022,Referral,Industrial Hardware,South East,48,Lost,17381.43,Government
LD-80,03/10/2022,Email Campaign,Warehouse Equipment,Midlands,55,Lost,11707.18,Contractor
LD-81,17/07/2023,Cold Call,Warehouse Equipment,North,7,Proposal Sent,53385.58,Government
LD-82,19/10/2023,Email Campaign,MRO Supplies,South West,77,Qualified,77360.27,Contractor
LD-83,14/07/2024,Trade Show,Safety Products,Midlands,4,Qualified,15151.45,Government
LD-84,15/07/2023,Online Directory,MRO Supplies,London,22,Won,33494.54,Trade
LD-85,02/09/2022,Email Campaign,Packaging,South West,64,Won,43996.92,Contractor
LD-86,31/05/2024,Referral,Safety Products,Midlands,80,Qualified,74071.41,Retail
LD-87,09/04/2022,Cold Call,Packaging,South East,59,Qualified,3118.77,Government
LD-88,06/07/2024,Trade Show,Industrial Hardware,London,3,Proposal Sent,82414.05,Retail
LD-89,02/08/2022,Referral,Packaging,London,49,Enquiry,18806.96,Retail
LD-90,27/06/2022,Website,Packaging,South West,23,Proposal Sent,61140.43,Contractor
LD-91,25/10/2022,Website,Safety Products,South West,95,Qualified,61597.56,Trade
LD-92,11/02/2023,Referral,Safety Products,South West,90,Won,17652.54,Contractor
LD-93,05/11/2023,Online Directory,Packaging,South West,24,Won,6999.93,Government
LD-94,07/03/2024,Trade Show,Warehouse Equipment,North,40,Qualified,45933.58,Contractor
LD-95,06/02/2022,Email Campaign,Safety Products,South East,29,Qualified,22139.34,Government
LD-96,13/07/2022,Referral,Packaging,London,1,Qualified,40701.73,Trade
LD-97,14/06/2024,Online Directory,Packaging,Midlands,95,Won,15770.45,Retail
LD-98,24/11/2024,Online Directory,Warehouse Equipment,North,95,Qualified,46370.12,Trade
LD-99,19/03/2024,Email Campaign,Warehouse Equipment,North,58,Lost,26201.74,Contractor
LD-100,19/03/2022,Trade Show,MRO Supplies,North,60,Proposal Sent,36035.24,Contractor
LD-101,29/01/2023,Website,Industrial Hardware,London,50,Enquiry,76438.49,Government
LD-102,29/07/2024,Cold Call,Safety Products,Midlands,77,Won,1887.03,Government
LD-103,05/08/2024,Email Campaign,Safety Products,Midlands,94,Qualified,48647.2,Trade
LD-104,31/10/2022,Referral,Warehouse Equipment,Midlands,38,Lost,36024.46,Contractor
LD-105,11/03/2024,Online Directory,Industrial Hardware,Midlands,60,Lost,67708.67,Retail
LD-106,17/03/2023,Online Directory,Safety Products,Midlands,26,Lost,55448.02,Contractor
LD-107,07/05/2022,Cold Call,Safety Products,North,80,Proposal Sent,29887.76,Contractor
LD-108,23/01/2024,Website,MRO Supplies,South West,36,Lost,66890.43,Contractor
LD-109,18/06/2024,Trade Show,Warehouse Equipment,London,94,Qualified,2786.24,Trade
LD-110,26/05/2024,Cold Call,MRO Supplies,South East,10,Qualified,65465.7,Contractor
LD-111,21/05/2023,Online Directory,Packaging,London,83,Lost,34854.98,Trade
LD-112,24/02/2022,Trade Show,Safety Products,South East,89,Lost,10054.64,Trade
LD-113,06/10/2023,Trade Show,MRO Supplies,South West,92,Won,74687.29,Retail
LD-114,01/11/2024,Trade Show,Packaging,North,15,Lost,36911.27,Contractor
LD-115,18/07/2023,Online Directory,Industrial Hardware,South East,30,Won,18392.36,Contractor
LD-116,26/08/2022,Referral,MRO Supplies,North,65,Won,72019.52,Retail
LD-117,03/10/2023,Trade Show,Safety Products,South East,36,Lost,6463.18,Retail
LD-118,07/10/2024,Referral,MRO Supplies,South East,8,Won,84946.62,Government
LD-119,06/02/2024,Online Directory,Packaging,North,15,Won,6414.44,Retail
LD-120,06/09/2022,Referral,Industrial Hardware,Midlands,39,Proposal Sent,38374.44,Government
LD-121,11/12/2024,Website,Safety Products,London,46,Qualified,55260.71,Trade
LD-122,05/03/2023,Email Campaign,Industrial Hardware,Midlands,12,Won,47171.09,Trade
LD-123,10/03/2022,Email Campaign,MRO Supplies,North,22,Proposal Sent,62628.06,Retail
LD-124,18/12/2023,Referral,Industrial Hardware,South East,92,Won,42563.56,Contractor
LD-125,23/06/2024,Referral,Packaging,London,6,Proposal Sent,60414.42,Contractor
LD-126,03/01/2024,Trade Show,Warehouse Equipment,Midlands,19,Qualified,49929.24,Contractor
LD-127,26/07/2023,Online Directory,Warehouse Equipment,South East,53,Enquiry,26263.51,Retail
LD-128,06/07/2023,Website,Warehouse Equipment,South West,91,Enquiry,39448.15,Retail
LD-129,17/06/2024,Website,Packaging,North,17,Proposal Sent,16288.45,Contractor
LD-130,15/09/2024,Email Campaign,MRO Supplies,London,24,Qualified,26156.96,Retail
LD-131,22/10/2024,Cold Call,Packaging,London,6,Enquiry,58186.2,Government
LD-132,27/03/2022,Email Campaign,Industrial Hardware,London,65,Lost,67923.4,Contractor
LD-133,23/04/2023,Website,MRO Supplies,North,62,Lost,79517.57,Government
LD-134,30/05/2023,Online Directory,Packaging,South East,74,Lost,67150.05,Trade
LD-135,01/08/2022,Cold Call,Packaging,Midlands,32,Enquiry,6494.35,Trade
LD-136,04/03/2024,Cold Call,Warehouse Equipment,North,23,Enquiry,19083.3,Government
LD-137,07/07/2022,Website,MRO Supplies,South East,18,Enquiry,14284.83,Government
LD-138,29/11/2023,Trade Show,Industrial Hardware,South West,52,Qualified,21857.14,Retail
LD-139,03/04/2023,Online Directory,Packaging,North,57,Qualified,30490.5,Trade
LD-140,20/07/2024,Online Directory,MRO Supplies,Midlands,13,Won,23024.92,Government
LD-141,09/11/2024,Online Directory,Packaging,Midlands,86,Qualified,73115.8,Government
LD-142,20/11/2023,Website,MRO Supplies,Midlands,49,Enquiry,6455.96,Trade
LD-143,28/06/2022,Referral,Warehouse Equipment,South East,75,Lost,57836.38,Trade
LD-144,26/10/2022,Website,MRO Supplies,Midlands,58,Won,58926.63,Government
LD-145,20/09/2022,Website,Industrial Hardware,South East,85,Qualified,81312.35,Government
LD-146,08/06/2024,Online Directory,Industrial Hardware,North,34,Proposal Sent,40446.47,Government
LD-147,18/11/2023,Referral,MRO Supplies,South East,4,Lost,33110.02,Trade
LD-148,16/07/2023,Website,Industrial Hardware,South West,56,Lost,10724.2,Retail
LD-149,15/01/2023,Email Campaign,Warehouse Equipment,Midlands,1,Qualified,6725.99,Contractor
LD-150,13/11/2022,Website,MRO Supplies,North,40,Enquiry,77530.92,Retail
LD-151,28/09/2023,Website,Warehouse Equipment,North,69,Won,63701.97,Trade
LD-152,19/11/2023,Online Directory,Packaging,South East,37,Qualified,79593.47,Contractor
LD-153,28/04/2023,Online Directory,Industrial Hardware,South West,57,Won,16512.4,Trade
LD-154,16/08/2024,Cold Call,MRO Supplies,South West,82,Won,13171.49,Government
LD-155,18/08/2023,Cold Call,Warehouse Equipment,South West,21,Proposal Sent,41303.45,Retail
LD-156,04/09/2024,Trade Show,Packaging,South East,32,Lost,53751.72,Contractor
LD-157,31/05/2022,Email Campaign,Packaging,North,37,Won,47893.31,Contractor
LD-158,09/01/2022,Trade Show,Warehouse Equipment,South West,67,Lost,10554.28,Government
LD-159,19/04/2022,Trade Show,MRO Supplies,Midlands,31,Won,57158.4,Trade
LD-160,21/06/2022,Online Directory,Warehouse Equipment,South East,47,Qualified,72371.24,Retail
LD-161,15/05/2023,Referral,Safety Products,South East,56,Qualified,70544.19,Trade
LD-162,17/02/2022,Online Directory,Warehouse Equipment,London,82,Enquiry,49440.54,Trade
LD-163,12/07/2022,Referral,Industrial Hardware,South West,19,Won,62570.9,Retail
LD-164,14/11/2022,Cold Call,Industrial Hardware,Midlands,8,Won,56576.83,Retail
LD-165,28/05/2024,Referral,Safety Products,South West,91,Lost,39390.77,Contractor
LD-166,26/02/2024,Email Campaign,Packaging,London,74,Enquiry,79543.74,Trade
LD-167,29/01/2022,Trade Show,MRO Supplies,South West,57,Proposal Sent,11768.36,Trade
LD-168,10/10/2022,Online Directory,Safety Products,South West,69,Proposal Sent,67364.12,Government
LD-169,17/07/2023,Email Campaign,Safety Products,London,27,Won,32304.02,Government
LD-170,14/03/2022,Online Directory,Safety Products,North,26,Lost,64066.01,Trade
LD-171,24/02/2024,Email Campaign,Packaging,Midlands,17,Enquiry,72566.48,Contractor
LD-172,24/08/2024,Cold Call,Packaging,South East,32,Won,60980.76,Trade
LD-173,30/05/2022,Email Campaign,Warehouse Equipment,South West,27,Won,31936.4,Retail
LD-174,17/12/2024,Email Campaign,MRO Supplies,South West,15,Qualified,70738.02,Retail
LD-175,02/02/2024,Online Directory,MRO Supplies,London,13,Won,81646.44,Government
LD-176,28/06/2023,Cold Call,MRO Supplies,South East,46,Qualified,37472.31,Contractor
LD-177,18/11/2023,Cold Call,Safety Products,South East,2,Won,46606.82,Government
LD-178,27/10/2024,Website,Safety Products,South East,82,Lost,20759.11,Trade
LD-179,08/11/2023,Website,Warehouse Equipment,South East,13,Enquiry,2987.06,Trade
LD-180,01/04/2022,Trade Show,Industrial Hardware,Midlands,37,Proposal Sent,76005.52,Retail
LD-181,25/07/2024,Cold Call,MRO Supplies,South East,55,Won,47996.08,Contractor
LD-182,04/07/2024,Website,Warehouse Equipment,Midlands,16,Enquiry,9097.89,Contractor
LD-183,09/06/2022,Referral,Industrial Hardware,London,4,Qualified,21443.27,Government
LD-184,30/01/2024,Trade Show,Industrial Hardware,North,27,Won,49207.63,Retail
LD-185,12/04/2024,Referral,Safety Products,London,83,Enquiry,18501.09,Trade
LD-186,08/09/2023,Online Directory,Packaging,South West,15,Qualified,53930.6,Contractor
LD-187,15/11/2023,Email Campaign,Warehouse Equipment,South East,40,Won,62366.4,Contractor
LD-188,15/03/2024,Trade Show,MRO Supplies,South West,61,Won,60662.28,Trade
LD-189,09/09/2023,Email Campaign,Safety Products,London,95,Won,25155.28,Contractor
LD-190,17/12/2024,Cold Call,Safety Products,South West,16,Lost,72463.88,Trade
LD-191,24/04/2022,Referral,Warehouse Equipment,South West,89,Lost,34855.44,Retail
LD-192,07/12/2023,Referral,Safety Products,South West,27,Enquiry,1165.77,Contractor
LD-193,26/04/2024,Website,MRO Supplies,South West,49,Enquiry,68395.1,Contractor
LD-194,27/06/2023,Email Campaign,Industrial Hardware,North,8,Lost,23866.93,Government
LD-195,02/07/2024,Email Campaign,MRO Supplies,North,1,Qualified,42797.74,Government
LD-196,27/04/2024,Trade Show,Industrial Hardware,South West,55,Won,43035.73,Trade
LD-197,27/03/2023,Email Campaign,Warehouse Equipment,South West,7,Enquiry,77452.29,Government
LD-198,01/11/2022,Trade Show,Packaging,London,55,Enquiry,39698.14,Retail
LD-199,12/10/2023,Online Directory,Safety Products,South West,3,Lost,6546.36,Trade
LD-200,18/12/2024,Website,Safety Products,South East,22,Lost,19736.27,Trade
LD-201,07/07/2022,Website,MRO Supplies,North,39,Proposal Sent,42510.0,Trade
LD-202,30/06/2024,Email Campaign,Safety Products,Midlands,94,Proposal Sent,9894.51,Contractor
LD-203,09/09/2022,Email Campaign,Industrial Hardware,North,52,Qualified,20502.18,Contractor
LD-204,21/07/2023,Trade Show,Warehouse Equipment,South West,89,Proposal Sent,50623.56,Government
LD-205,14/02/2023,Trade Show,MRO Supplies,Midlands,28,Lost,50980.14,Trade
LD-206,10/11/2022,Website,Packaging,London,30,Qualified,21398.87,Trade
LD-207,12/04/2022,Referral,Packaging,South West,35,Enquiry,62591.0,Trade
LD-208,25/05/2024,Email Campaign,Packaging,South West,86,Proposal Sent,16713.28,Trade
LD-209,03/09/2022,Online Directory,Warehouse Equipment,Midlands,25,Qualified,84489.33,Contractor
LD-210,25/11/2022,Referral,MRO Supplies,South West,88,Enquiry,79649.12,Contractor
LD-211,05/10/2023,Cold Call,Packaging,South East,12,Qualified,29841.43,Retail
LD-212,05/03/2023,Cold Call,Safety Products,Midlands,24,Qualified,26840.45,Trade
LD-213,15/02/2023,Cold Call,Industrial Hardware,South East,23,Enquiry,82650.46,Retail
LD-214,27/05/2024,Email Campaign,Industrial Hardware,Midlands,94,Qualified,4027.4,Contractor
LD-215,29/06/2022,Website,MRO Supplies,Midlands,23,Enquiry,37743.62,Trade
LD-216,15/02/2022,Trade Show,Industrial Hardware,North,5,Qualified,19703.07,Trade
LD-217,09/01/2023,Online Directory,Safety Products,South West,79,Proposal Sent,63539.01,Retail
LD-218,01/08/2022,Referral,Warehouse Equipment,North,52,Qualified,54332.27,Contractor
LD-219,23/04/2023,Referral,Packaging,North,41,Qualified,53624.5,Contractor
LD-220,05/07/2024,Online Directory,MRO Supplies,Midlands,35,Proposal Sent,35630.21,Contractor
LD-221,01/04/2022,Online Directory,Warehouse Equipment,North,68,Lost,45418.85,Government
LD-222,23/01/2022,Cold Call,Warehouse Equipment,London,94,Won,63510.31,Contractor
LD-223,14/01/2022,Cold Call,MRO Supplies,Midlands,49,Qualified,23936.88,Contractor
LD-224,22/07/2022,Cold Call,Packaging,London,25,Enquiry,30609.72,Government
LD-225,14/02/2024,Trade Show,Industrial Hardware,South East,28,Enquiry,43818.92,Contractor
LD-226,29/04/2023,Referral,Packaging,Midlands,33,Lost,27856.58,Government
LD-227,17/06/2023,Online Directory,Safety Products,North,83,Qualified,44346.43,Contractor
LD-228,01/02/2023,Referral,Warehouse Equipment,South West,10,Enquiry,36093.57,Contractor
LD-229,02/07/2022,Trade Show,MRO Supplies,South East,81,Lost,39054.19,Trade
LD-230,18/12/2023,Online Directory,Warehouse Equipment,South East,72,Enquiry,25998.21,Retail
LD-231,28/12/2024,Trade Show,Packaging,North,37,Qualified,32002.52,Government
LD-232,10/01/2024,Referral,Industrial Hardware,London,59,Qualified,1095.74,Government
LD-233,24/01/2022,Email Campaign,Industrial Hardware,Midlands,25,Won,27572.07,Government
LD-234,24/02/2023,Referral,Safety Products,South West,49,Enquiry,57679.98,Retail
LD-235,26/09/2024,Cold Call,Packaging,South West,84,Won,79544.29,Government
LD-236,27/01/2024,Cold Call,Industrial Hardware,North,34,Won,72231.95,Contractor
LD-237,24/05/2023,Website,Industrial Hardware,South East,32,Qualified,71768.28,Contractor
LD-238,31/08/2023,Cold Call,Warehouse Equipment,South East,52,Won,59861.09,Trade
LD-239,24/06/2023,Trade Show,Packaging,North,49,Proposal Sent,6019.79,Retail
LD-240,14/04/2024,Online Directory,MRO Supplies,North,22,Won,29975.03,Contractor
LD-241,02/04/2024,Referral,Industrial Hardware,Midlands,95,Proposal Sent,44871.77,Contractor
LD-242,16/12/2022,Cold Call,Industrial Hardware,South East,70,Enquiry,39229.83,Contractor
LD-243,13/07/2022,Email Campaign,Packaging,London,36,Lost,11646.07,Government
LD-244,03/09/2022,Referral,Safety Products,South East,11,Enquiry,46623.96,Government
LD-245,21/04/2024,Website,MRO Supplies,London,67,Qualified,11871.53,Government
LD-246,25/10/2022,Trade Show,MRO Supplies,South West,62,Proposal Sent,70405.85,Contractor
LD-247,06/02/2024,Cold Call,Warehouse Equipment,South West,15,Won,28379.86,Trade
LD-248,12/08/2023,Website,Industrial Hardware,South West,89,Enquiry,52338.32,Contractor
LD-249,19/03/2022,Online Directory,Industrial Hardware,London,77,Lost,68633.76,Retail
LD-250,22/03/2024,Cold Call,Safety Products,Midlands,70,Lost,43194.22,Retail
LD-251,03/03/2023,Online Directory,Warehouse Equipment,South West,60,Enquiry,43062.9,Retail
LD-252,07/10/2023,Referral,Industrial Hardware,North,82,Lost,25745.99,Retail
LD-253,20/02/2024,Online Directory,Industrial Hardware,Midlands,88,Lost,56071.88,Retail
LD-254,16/12/2022,Cold Call,Safety Products,North,23,Won,33091.37,Contractor
LD-255,12/12/2022,Cold Call,Packaging,London,88,Proposal Sent,82849.09,Retail
LD-256,30/11/2022,Website,Industrial Hardware,South East,73,Qualified,6153.87,Government
LD-257,21/11/2023,Website,MRO Supplies,Midlands,78,Lost,70223.97,Government
LD-258,17/04/2022,Website,Packaging,South West,43,Lost,42686.16,Retail
LD-259,03/01/2022,Trade Show,MRO Supplies,Midlands,66,Lost,60463.92,Trade
LD-260,08/05/2023,Online Directory,Packaging,London,95,Enquiry,12191.47,Contractor
LD-261,16/01/2023,Website,Warehouse Equipment,South East,63,Won,16510.04,Trade
LD-262,10/08/2022,Website,Warehouse Equipment,London,86,Enquiry,67037.59,Retail
LD-263,19/12/2022,Online Directory,Safety Products,North,44,Qualified,47674.35,Government
LD-264,05/01/2023,Online Directory,Safety Products,South West,17,Qualified,59016.3,Retail
LD-265,24/07/2024,Referral,Packaging,Midlands,56,Lost,25150.36,Contractor
LD-266,30/12/2022,Cold Call,Packaging,South West,22,Won,81510.74,Retail
LD-267,13/05/2024,Email Campaign,Industrial Hardware,London,40,Lost,61476.05,Trade
LD-268,11/08/2023,Cold Call,Industrial Hardware,North,36,Enquiry,46458.44,Contractor
LD-269,24/12/2022,Referral,Packaging,North,18,Enquiry,10926.58,Trade
LD-270,29/11/2022,Trade Show,Packaging,Midlands,94,Enquiry,42562.16,Government
LD-271,09/06/2023,Website,Warehouse Equipment,South West,59,Qualified,31021.05,Government
LD-272,03/09/2022,Cold Call,MRO Supplies,South West,85,Qualified,58231.15,Trade
LD-273,11/10/2024,Cold Call,MRO Supplies,Midlands,66,Enquiry,35876.17,Government
LD-274,06/02/2024,Trade Show,Industrial Hardware,London,35,Qualified,84650.46,Contractor
LD-275,28/09/2022,Trade Show,Industrial Hardware,Midlands,44,Lost,5061.9,Retail
LD-276,28/04/2023,Cold Call,Industrial Hardware,South East,78,Lost,17093.21,Trade
LD-277,02/10/2024,Cold Call,Safety Products,London,13,Lost,70962.6,Retail
LD-278,11/06/2022,Email Campaign,Safety Products,South East,29,Enquiry,46941.78,Trade
LD-279,20/06/2023,Online Directory,Warehouse Equipment,Midlands,87,Qualified,8393.14,Contractor
LD-280,30/09/2024,Trade Show,Warehouse Equipment,Midlands,35,Proposal Sent,45702.51,Contractor
LD-281,14/02/2024,Online Directory,MRO Supplies,North,1,Proposal Sent,30760.9,Trade
LD-282,01/02/2022,Email Campaign,Safety Products,South West,95,Enquiry,74281.71,Government
LD-283,05/10/2022,Trade Show,MRO Supplies,South East,30,Lost,65614.38,Retail
LD-284,23/07/2024,Email Campaign,Safety Products,North,63,Won,29764.94,Contractor
LD-285,25/11/2023,Trade Show,MRO Supplies,South West,59,Lost,24114.58,Government
LD-286,03/02/2022,Website,Safety Products,South East,85,Enquiry,66241.01,Retail
LD-287,13/07/2023,Email Campaign,Safety Products,London,65,Proposal Sent,20521.79,Contractor
LD-288,15/08/2022,Cold Call,Industrial Hardware,South East,92,Enquiry,41153.75,Government
LD-289,26/06/2023,Website,MRO Supplies,South East,24,Won,17464.32,Retail
LD-290,12/04/2023,Online Directory,Packaging,South East,68,Lost,77837.24,Trade
LD-291,27/05/2023,Website,MRO Supplies,South East,81,Proposal Sent,73268.09,Contractor
LD-292,05/05/2022,Trade Show,Industrial Hardware,London,88,Won,20810.95,Retail
LD-293,16/03/2024,Trade Show,Warehouse Equipment,Midlands,34,Proposal Sent,9299.61,Government
LD-294,02/06/2022,Referral,Industrial Hardware,Midlands,85,Won,61319.17,Government
LD-295,14/10/2022,Trade Show,MRO Supplies,South West,59,Enquiry,62176.75,Retail
LD-296,26/04/2024,Website,Packaging,South West,84,Enquiry,20959.0,Trade
LD-297,03/12/2022,Referral,MRO Supplies,North,84,Proposal Sent,8059.67,Contractor
LD-298,06/06/2023,Email Campaign,Packaging,London,6,Lost,40959.24,Trade
LD-299,28/08/2022,Email Campaign,Industrial Hardware,South East,46,Lost,76589.25,Government
LD-300,17/11/2024,Website,Safety Products,South West,12,Won,50693.17,Government
LD-301,04/02/2022,Email Campaign,Packaging,South East,23,Won,74129.75,Contractor
LD-302,29/05/2024,Email Campaign,Industrial Hardware,London,81,Enquiry,65908.23,Trade
LD-303,26/11/2024,Email Campaign,Industrial Hardware,South East,85,Proposal Sent,56646.5,Retail
LD-304,27/10/2023,Referral,Warehouse Equipment,South West,11,Lost,8385.87,Retail
LD-305,26/07/2024,Cold Call,MRO Supplies,South West,88,Lost,32820.58,Contractor
LD-306,01/09/2022,Cold Call,Packaging,North,39,Lost,76608.26,Retail
LD-307,04/07/2024,Referral,Packaging,Midlands,48,Won,15996.59,Government
LD-308,04/01/2023,Online Directory,Industrial Hardware,London,1,Proposal Sent,70799.66,Government
LD-309,31/05/2022,Online Directory,Warehouse Equipment,North,92,Proposal Sent,73132.75,Contractor
LD-310,29/07/2023,Cold Call,Packaging,Midlands,86,Lost,58178.69,Government
LD-311,29/07/2023,Referral,Industrial Hardware,South West,41,Lost,60334.15,Trade
LD-312,26/07/2022,Referral,Warehouse Equipment,Midlands,38,Lost,16492.49,Trade
LD-313,21/07/2022,Trade Show,Warehouse Equipment,South West,96,Lost,38897.88,Contractor
LD-314,15/12/2022,Trade Show,Warehouse Equipment,London,88,Enquiry,19186.75,Government
LD-315,26/01/2023,Trade Show,Warehouse Equipment,Midlands,71,Lost,59500.38,Trade
